"","Karlsruher SC","Eintracht Frankfurt","Hamburger SV","Hertha BSC","SC Freiburg","FC St. Pauli","FC Bayern München","VfL Borussia Mönchengladbach","SpVgg Greuther Fürth","DSC Arminia Bielefeld","Werder Bremen","RasenBallsport Leipzig","Hannover 96","MSV Duisburg","VfB Stuttgart","SC Preußen Münster","Fortuna 95 Düsseldorf","FC Schalke 04","TSV 1860 München","1. FC Kaiserslautern","1. FC Köln","1. FC Union Berlin","FC Hansa Rostock","Eintracht Braunschweig","BSG Chemie Leipzig","SV Waldhof Mannheim","BV 09 Borussia Dortmund","1. FC Magdeburg","SV Darmstadt 98","FC Carl Zeiss Jena","VfL Bochum","SG Dynamo Dresden","Rot-Weiß Oberhausen","1. FC Nürnberg","Hallescher FC","Rot-Weiss Essen","1. FSV Mainz 05","FC Erzgebirge Aue","Wuppertaler SV","TSG 1899 Hoffenheim","KSV Hessen Kassel","FC Energie Cottbus","VfB Oldenburg","1. FC Heidenheim","Kickers Offenbach","Fortuna Köln","SC Paderborn 07","FC Augsburg","1. FC Lokomotive Leipzig","Alemannia Aachen","FC Rot-Weiß Erfurt","Bayer 04 Leverkusen","VfR Aalen","VfL Osnabrück","VfL Wolfsburg","1. FC Saarbrücken","Stuttgarter Kickers","Holstein Kiel","Chemnitzer FC","BFC Dynamo","SV Meppen","FSV Zwickau","Werder Bremen II","SV Wehen 1926 Wiesbaden","SV Babelsberg 03","Würzburger Kickers","SSV Jahn 2000 Regensburg","SpVgg Unterhaching","VfB Lübeck","Bonner SC","FC Viktoria Köln","SV 1916 Sandhausen","Altona 93","FC Ingolstadt 04","FSV Frankfurt","KFC Uerdingen 05","Sportfreunde Lotte","1. FC Schweinfurt 05","SG Sonnenhof Großaspach"
"Rot-Weiß Oberhausen",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. FC Nürnberg",0,60,1,2,7,5,565,0,782,1,0,13,1,0,9,0,1,6,4,4,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hallescher FC",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rot-Weiss Essen",0,0,0,0,0,0,5,0,0,0,0,1,0,33,0,0,9,217,0,0,0,0,1,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1. FSV Mainz 05",0,268,2,1,0,0,11,3,2,0,0,5,1,0,1,0,0,0,0,185,6,2,0,5,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"FC Erzgebirge Aue",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,1,112,3,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0
"Wuppertaler SV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"TSG 1899 Hoffenheim",4,10,1,1,4,0,23,0,0,0,1,7,0,0,63,0,0,1,0,4,9,0,1,0,0,3,48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"KSV Hessen Kassel",0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"FC Energie Cottbus",6,0,0,24,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,44,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
